"year","ADID","CreativeUrl","Currency.Code","Spend","Impressions","StartDate","EndDate","OrganizationName","BillingAddress","CandidateBallotInformation","PayingAdvertiserName","CommitteeName","CommitteeIdentificationNumber","DisclosureNameOfCommittee","AdvertisingJurisdiction","Gender","AgeBracket","CountryCode","Regions..Included.","Regions..Excluded.","Electoral.Districts..Included.","Electoral.Districts..Excluded.","Radius.Targeting..Included.","Radius.Targeting..Excluded.","Metros..Included.","Metros..Excluded.","Postal.Codes..Included.","Postal.Codes..Excluded.","Location.Categories..Included.","Location.Categories..Excluded.","Interests","OsType","Segments","Language","AdvancedDemographics","Targeting.Connection.Type","Targeting.Carrier..ISP.","CreativeProperties","id","text"
2020,"afcf93742cdad8fc2e446f01661378f1c643b2454d9d9f3ece1721b874b15c82","https://www.snap.com/political-ads/asset/87d40d4e39a00bdc985b34d13c54bdab1a67bdc8ea7f7f6c11d8d43009035fbe?mediaType=png","USD",220,49021,"2020/07/21 20:15:19Z","2020/08/05 03:59:59Z","ACRONYM","US",NA,"ACRONYM",NA,NA,NA,NA,NA,"18-34","united states",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"web_view_url:https://www.peoplespowergrab.org/register?utm_source=snap&utm_medium=paid-cnv&utm_campaign=ete-rg-em&utm_term=ls-ulw-cl&utm_content=91DFE5CF",2382,"¡ Si Se Puede ! PEOPLE'S POWER GRAB"
2022,"57930e8d10a73df0605ff30ad83daab73eb8ecf5619c34cc92fd8a51fe1e5019","https://www.snap.com/political-ads/asset/41dd0fc3d6a6bc804d7e7f48a5fd8b10f4ed5ecf61c1cc75593bd3b4b6a8b7b6?mediaType=png","USD",432,20080,"2022/09/30 22:41:31Z","2022/11/08 21:59:00Z","Wavelength Strategy","US","Josh Harder For Congress","Josh Harder For Congress","JOSH HARDER FOR CONGRESS","C00639146","JOSH HARDER FOR CONGRESS","N/A",NA,"18+","united states","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,NA,"web_view_url:https://harderforcongress.com/how-to-vote/?utm_source=snap&utm_medium=paid",5321,"BALLOTS ARE IN MAILBOXES ! UNITED STATES REPRESENTATIVE CONGRESSIONAL DISTRICT 9 VOTE FOR ONE TOM PATTI JOSH HARDER VOTE FOR JOSH HARDER ON PAGE 2 SIGN & DATE THE ENVELOPE . NO STAMPS NEEDED ! RETURN YOUR BALLOT NOW ! PAID FOR BY JOSH HARDER FOR CONGRESS PAGE 2"
2020,"6e81f04dcc9a97bf251d26a38ce5efb7a5e8f29f49a1b6bc39d03c304f786963","https://www.snap.com/political-ads/asset/6b7446f62b3c429a676a5506d0693c1503abfabd01237b71ec56221f17575132?mediaType=png","USD",102,18196,"2020/09/25 13:30:03Z","2020/11/04 04:59:59Z","Marketing Doctor Inc","55 Damon Rd Suite 1,Northampton,01060,US","Vote 2020","Middlesex County, NJ",NA,NA,NA,NA,NA,"18+","united states",NA,NA,NA,NA,NA,NA,NA,NA,"07008,07080,07095,08536,08817,08846,08852,08854,08859,08861,08872,08901,08902,08904",NA,NA,NA,NA,NA,"Provided by Advertiser","en",NA,NA,NA,"web_view_url:http://middlesexcountynj.gov/vote2020",1259,"VOTE ***** EVERY VOTE MATTERS RETURN YOUR BALLOT BY NOV . 3"
2025,"07374813d69774d3797261098bb4b2722cb3236066ad9c12c868bf33a3ee7a9f","https://www.snap.com/political-ads/asset/1708830b3206de7f21716ddc20c8d596bc5a663aeec05c3995abfcf90be98237?mediaType=png","USD",115,1993,"2025/04/14 07:00:58Z","2025/05/21 03:00:00Z","RIESTER Sonoran LLC","3344 E. Camelback Rd.,Phoenix,85018,US","Get Democracy Done","Clean Elections",NA,NA,NA,NA,NA,"18+","united states",NA,NA,NA,NA,NA,NA,NA,NA,"85323,85326,85338,85340,85355,85392,85395,85139",NA,NA,NA,NA,NA,"Provided by Advertiser","en",NA,NA,NA,"web_view_url:https://www.azcleanelections.gov/may-20-2025-election/mohave?utm_source=Snapchat&utm_medium=Paid_Social&utm_campaign=May_2025_Elections",9008,"THINK LOCAL VOTE LOCAL MAY 20 ELECTION DAY MAY 20 ELECTION INFO CLEAN ELECTIONS"
2019,"e1f10d1927da0c4ac71713176a8b374c605df29441f51a344323827f75575fee","https://www.snap.com/political-ads/asset/465b8307760ca41e4f7653465bcdd822dcd69a9cd9d36bee598107e3cf0a24a0?mediaType=png","USD",254,33096,"2019/10/17 20:12:15Z","2019/11/05 23:00:00Z","ACRONYM","US","Get out the vote","ACRONYM",NA,NA,NA,NA,NA,"18+","united states",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"web_view_url:https://peoplespowergrab.civicengine.com/?utm_source=snap&utm_medium=paid-awr&utm_campaign=ppg-mob&utm_term=ky-18b34-rv-v&utm_content=D9EACA4E",360,"MY ANCESTORS CONSPIRED SO I COULD BE HERE VOTE ON 11/5"
2024,"e16fa754a25854f90a3109b869e26b5be940b0c3ac09bf68559b84646c7cd32f","https://www.snap.com/political-ads/asset/df7352a9b0e337827ba9f8c829a8514da604237d79b09b9db335e81b9fed5682?mediaType=png","USD",75,4878,"2024/05/01 16:40:10Z","2024/06/21 05:59:00Z","BCom Solutions","919 Central Ave,Auburn,68305,US","Cass County Solar","NextEra Energy Resources",NA,NA,NA,NA,NA,"18+","united states",NA,NA,NA,NA,NA,NA,NA,NA,"68048,68003,68037,68349,68347,68463,68366,68409,68455,68413,68407,68304,68307,68016,68058,68403","68101,68102,68103,68104,68105,68106,68107,68108,68109,68110,68111,68112,68114,68116,68117,68118,68119,68122,68124,68127,68130,68131,68132,68134,68135,68136,68137,68138,68139,68142,68144,68145,68147,68152,68154,68157,68164,68172,68175,68176,68178,68179,68180,68182,68183,68197,68198,68501,68502,68503,68504,68505,68506,68507,68508,68509,68510,68512,68514,68516,68517,68520,68521,68522,68523,68524,68526,68527,68528,68529,68531,68532,68542,68544,68583,68588",NA,NA,NA,NA,"Provided by Advertiser",NA,NA,NA,NA,"web_view_url:https://www.nexteraenergyresources.com/cass-county-solar/petition.html?cid=SNCACSOLLEGUND000110",7868,"BURGLAR ALARM Show your support for Cass County Solar SIGN HERE >> NEXTera® ENERGY RESOURCES Cass County Solar is a subsidiary of NextEra Energy Resources ."
2021,"6cd26c1e5c0ae02d802de19fd421fe1b806faecf9643e7ef96c71a1646e3180e","https://www.snap.com/political-ads/asset/6a48814d92ff30fbb726723480d992dcb7017abaec39fc9969369127be981ec8?mediaType=png","USD",116,16263,"2021/01/22 15:12:53Z",NA,"Pythia Public","214 N 11th Street  6N,Brooklyn,11211,US","Save the NYC Hotel Industry","Hotel Association of NYC",NA,NA,NA,NA,NA,"21+","united states",NA,NA,NA,NA,"latitude 40.75;longitude -73.99;radius 0.52,latitude 40.73;longitude -73.99;radius 0.3,latitude 40.74;longitude -74.0;radius 0.3,latitude 40.73;longitude -74.0;radius 0.3,latitude 40.74;longitude -74.01;radius 0.52,latitude 40.77;longitude -73.99;radius 0.3,latitude 40.79;longitude -73.95;radius 0.52,latitude 40.83;longitude -73.94;radius 0.3,latitude 40.84;longitude -73.94;radius 0.3,latitude 40.85;longitude -73.93;radius 0.3,latitude 40.87;longitude -73.92;radius 0.52,latitude 40.8;longitude -73.94;radius 0.52,latitude 40.76;longitude -73.99;radius 0.3,latitude 40.86;longitude -73.93;radius 0.3,latitude 40.83;longitude -73.92;radius 0.5,latitude 40.83;longitude -73.93;radius 0.5,latitude 40.85;longitude -73.91;radius 0.5,latitude 40.81;longitude -73.92;radius 0.5,latitude 40.81;longitude -73.91;radius 0.5,latitude 40.82;longitude -73.91;radius 0.5,latitude 40.85;longitude -73.9;radius 0.5,latitude 40.86;longitude -73.89;radius 0.5,latitude 40.82;longitude -73.9;radius 0.5,latitude 40.84;longitude -73.88;radius 0.5,latitude 40.88;longitude -73.9;radius 0.74,latitude 40.86;longitude -73.9;radius 0.74,latitude 40.82;longitude -73.89;radius 0.74,latitude 40.79;longitude -73.73;radius 1.0,latitude 40.8;longitude -73.74;radius 1.0,latitude 40.66;longitude -73.93;radius 0.5,latitude 40.71;longitude -73.95;radius 0.5,latitude 40.68;longitude -73.9;radius 0.5,latitude 40.68;longitude -73.88;radius 0.5,latitude 40.63;longitude -73.95;radius 0.5,latitude 40.66;longitude -73.91;radius 0.5,latitude 40.69;longitude -73.92;radius 0.5,latitude 40.65;longitude -73.96;radius 0.5,latitude 40.61;longitude -73.97;radius 0.5,latitude 40.68;longitude -73.93;radius 0.5,latitude 40.61;longitude -73.92;radius 1.2,latitude 40.65;longitude -73.9;radius 0.5,latitude 40.7;longitude -73.92;radius 0.5,latitude 40.65;longitude -73.89;radius 0.5,latitude 40.79;longitude -73.81;radius 0.97,latitude 40.75;longitude -73.85;radius 0.5,latitude 40.77;longitude -73.87;radius 0.5,latitude 40.77;longitude -73.89;radius 0.5,latitude 40.75;longitude -73.89;radius 0.5,latitude 40.69;longitude -73.76;radius 0.5,latitude 40.68;longitude -73.84;radius 0.5,latitude 40.7;longitude -73.82;radius 0.52,latitude 40.69;longitude -73.82;radius 0.5,latitude 40.68;longitude -73.81;radius 0.5,latitude 40.69;longitude -73.85;radius 0.5,latitude 40.71;longitude -73.78;radius 0.5,latitude 40.72;longitude -73.8;radius 0.5,latitude 40.7;longitude -73.8;radius 0.5,latitude 40.67;longitude -73.77;radius 0.5,latitude 40.7;longitude -73.81;radius 0.28,latitude 40.67;longitude -73.8;radius 0.5",NA,NA,NA,NA,NA,NA,NA,"Frequent Hotel Guests",NA,"Provided by Advertiser",NA,NA,NA,NA,"web_view_url:https://keyto.nyc/save-the-hotels/?utm_source=snapchat&utm_campaign={{campaign.name}}&utm_content={{creative.name}}&utm_medium=paid-digital",3984,"Most hotel workers are people of color and immigrants Tell City Hall : Saving hotels saves our communities KEY TONYC"
2022,"4e3306d5c9525c0c5c4b03c07990e1da4b05a2c2b158921fb13ea4c9a9b12059","https://www.snap.com/political-ads/asset/1ef3e03b807c2228a6f3538910bd97501ede56ecd8516b6ca345cf7629924ffb?mediaType=png","USD",101,9427,"2022/06/17 20:57:00Z","2022/11/09 00:59:00Z","Wavelength Strategy","US","Catherine Cortez Masto for Senate","Catherine Cortez Masto",NA,NA,NA,NA,NA,"18+","united states",NA,NA,NA,NA,NA,NA,"Las Vegas",NA,NA,"89109",NA,NA,NA,NA,NA,"es",NA,NA,NA,"web_view_url:https://espanol.catherinecortezmasto.com/?utm_source=snapchat&utm_medium=pm&utm_content=depend",5452,"SENADOR DE NEVADA BUSCA impulsar la manufactura nacional y disminuir las interrupciones EN LA CADENA DE SUMINISTRO LAS VEGASSUN FEB 23 , 2022 CATHERINE CORTEZ MASTO PARA EL SENADO PAGADO POR CATHERINE CORTEZ MASTO FOR SENATE ."
2020,"fc3102334b3fbe75d3460a23c004f556518a76b90d6094168a8895ce685537c8","https://www.snap.com/political-ads/asset/3503c8e314deb572c2208bc2c8af9ce0cef1c3639ee39762042a02156bd60d54?mediaType=png","USD",139,11256,"2020/10/21 22:32:53Z","2020/11/03 22:59:59Z","Chong and Koster","1707 L St NW Suite 950,Washington,20036,US",NA,"Voter Participation Center",NA,NA,NA,NA,NA,NA,"united states","Maine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"web_view_url:https://www.voterparticipation.org/dropbox-locations/?utm_source=BC20&utm_medium=snapchat&utm_campaign=CK-VPC-BC20-SC-VPC.B01-AZ-AZML-C01_T01_D00_P12",938,"DROP OFF YOUR BALLOT Voted"
2022,"b68b05cf7055140dcc55668b632d4f0cec1cdc90ec263bee7a6e451ce0f116e4","https://www.snap.com/political-ads/asset/9722d0cfb7ad37622ebdb4f47b2a0c5b9ca7e7facd01c3b0d413b36537ab3371?mediaType=png","USD",162,28690,"2022/04/20 04:34:11Z","2022/05/14 06:59:59Z","Open Hand Media","235 E. Broadway, Suite 320, Long Beach, CA,Long Beach,90803,US","Planned Parenthood","Planned Parenthood",NA,NA,NA,NA,"FEMALE","18-29","united states",NA,NA,NA,NA,"latitude 33.68541847780027;longitude -117.80674176040587;radius 18.73",NA,NA,NA,NA,NA,NA,NA,"Arts & Culture Mavens,Advocates & Activists,Philanthropists",NA,"Provided by Advertiser",NA,NA,NA,NA,"web_view_url:https://bansoffabortion.org/",5688,"Planned Parenthood MyRightMyDecision Ⓡ NTROL HEALTH RIGHT , DECISIO MY RIGHT , MY DECISION BANS OFF ABORTION RALLY We will not stand by as abortion access is stripped away May 14 , 2022 | 10AM Centennial Regional Park Santa Ana , CA"
