year,ADID,CreativeUrl,Currency.Code,Spend,Impressions,StartDate,EndDate,OrganizationName,BillingAddress,CandidateBallotInformation,PayingAdvertiserName,CommitteeName,CommitteeIdentificationNumber,DisclosureNameOfCommittee,AdvertisingJurisdiction,Gender,AgeBracket,CountryCode,Regions..Included.,Regions..Excluded.,Electoral.Districts..Included.,Electoral.Districts..Excluded.,Radius.Targeting..Included.,Radius.Targeting..Excluded.,Metros..Included.,Metros..Excluded.,Postal.Codes..Included.,Postal.Codes..Excluded.,Location.Categories..Included.,Location.Categories..Excluded.,Interests,OsType,Segments,Language,AdvancedDemographics,Targeting.Connection.Type,Targeting.Carrier..ISP.,CreativeProperties,id,text
2019,666f049270ca694ad4865a76ad6ee874bbb3da8af07df0e844375b63a723c803,https://www.snap.com/political-ads/asset/644c3f8733997b697b6be0fb7aa2da58fa4b9490e63970c55f9fdaf789f7867d?mediaType=png,USD,148,49395,2019/09/29 03:27:32Z,2019/11/06 22:27:04Z,Stowell for Sheriff,US,William Stowell,Stowell for Sheriff,,,,,,17+,united states,Virginia,,,,,,,,"24090,24064,24066,24077,24050,24083,24085,24130,24175,24438",,,,Collegiates,IOS,Provided by Advertiser,en,,,,web_view_url:https://votestowell.com,249,"Stowell for Sheriff The Peoples Defender , NOT a Cash Collector VoteStowell.com Paid for by Stowell for Sheriff Take Back Your Rights !"
2021,44f51886e3991ad00f3f3ded1703e296e3e343498e6286c8b621a74b31b10e5f,https://www.snap.com/political-ads/asset/94269a8291b6741954b4812222a6144a481f10876e0b1811b0c56afbf73add25?mediaType=png,USD,15,1429,2021/03/18 17:29:33Z,2021/03/31 06:59:59Z,Mandate Media,US,Peter DeFazio for Congress,DeFazio for Congress,,,,,,18+,united states,Oregon,,,,,,,,,,,,"Vegans & Organic Foodies,Green Living Enthusiasts",,,,,,,web_view_url:https://www.defazioforcongress.org/petition/restore-esa/a/sc/,4195,JOIN CONGRESSMAN DEFAZIO & TELL CONGRESS : RESTORE THE ENDANGERED SPECIES ACT TO PROTECT OUR WILDLIFE . PAID FOR BY DEFAZIO FOR CONGRESS SWIPE UP & SIGN THE PETITION ✰ ES ST
2020,ed0ef93b9efdb01c8a58c339b14dae1bcc6387f02f726318f7032421c68b2324,https://www.snap.com/political-ads/asset/ecc058013eeae8c51dc3d13eb3ac926bca1b56afd802f794902f6f2561e770e4?mediaType=png,USD,52,5367,2020/11/18 22:30:20Z,2020/12/24 07:59:59Z,Trilogy Interactive,"2054 University Ave STE 600,Berkeley,94704,US",Patients for Affordable Drugs,Patients for Affordable Drugs,,,,,,18+,united states,,,,,,,,,,,,,,,,,,,,web_view_url:https://secure.everyaction.com/3QGC258BukyHzhGjYeQZgA2?ms=ad_sn_lba_nat-look-pat_ph-greed-i6-20200827&utm_source=sn&utm_medium=ad&utm_campaign=lba&utm_content=nat-pat_ph-greed-i6-20200827,2252,04 JD 83081273 DO 1411 RAL RESERVE NOTE 21 ONE BUNDI UNITED OFF الاهرة 16 RS AVG . PHARMA CEO PAY : $ 7.2 MILLION FIGHT BACK >>>
2022,dfeef5bf1174e99d7066f7aa21ad533e8e016961ce2c159eac51fe35ed7a01e6,https://www.snap.com/political-ads/asset/50881c245b281c0d48042b6ead129bc3d7d406a208041b645f3e8ab892b3ad16?mediaType=png,USD,988,177117,2022/01/03 22:59:34Z,2022/02/01 04:59:59Z,National Republican Senatorial Committee,"425 2ND STREET NE,WASHINGTON,20002,US",NRSC,NRSC,,,,,,18+,united states,,,,,,,,,,,,,,,,en,,,,web_view_url:https://winred.nrsc.org/nrsc/rate-joe-biden?utm_medium=ad&utm_source=dp_snap&utm_campaign=20220103_na_bidenperformprosp_audience0053_nrsc_nrsc_ocpmycr_bh_creative03503_na_us_b_18-99_snap_all_na_lp0179_acq_leads_na_1080_1920_na&utm_content=fun,4768,POLL IS LIVE Is Joe Biden A Good President ? Yes No
2025,3bdbe94622299fdd05874318d28386278f6d296ff183c17b2be6f5a716582d86,https://www.snap.com/political-ads/asset/5accc42129bf47ff588aca86acacf6b2319b8b940cc1efe3a68016920312dbbb?mediaType=png,USD,27,1358,2025/12/05 04:39:16Z,,Helping Hand USA,US,,Helping Hand USA Self Service,,,,,,18+,united states,,,,,,,,,,,,,,,Provided by Advertiser,,,,,web_view_url:https://www1.hhrd.org/Campaigns/Palestine-Relief?utm_source=Paid+Social&utm_medium=Snapchat,9047,"MUS FOR LIMS HELPING HAND UMANI FOR RELIEF AND DEVELOPMENT 800,000 Assisted since Oct 2023 Help us Reach More Help Us Reach More hie bid HELPING HAND WINTER RELIEF PROGRAM 2024-25 HHRD's Winter Promise Warmth & Hope LITTL GAZ STIN"
2020,898b6a13e52e7eac93786aa6b828d747fd18b5d3cfc36bb681c0d03cb4784f15,https://www.snap.com/political-ads/asset/208828b8c3624223029785c4c29eeaaba7a76c1911ca02dc574abf7dc2e90467?mediaType=png,USD,65,17186,2020/10/19 17:03:20Z,2020/11/02 05:59:59Z,Bully Pulpit Interactive,"1445 New York Ave NW,Washington,20005,US",Democratic National Committee,Democratic National Committee,,,,,,18+,united states,,,,,latitude 25.7204805;longitude -80.2784505;radius 5.0,,,,,,,,,,Provided by Advertiser,,,,,,2413,"★ VOTE EARLY VOTE BLUE Vote For Our Future FLORIDA I'm an Early Voter ! *** 20 MILLION BALLOTS CAST AND COUNTING VOTE BLUE 2020 ! WE HAVE THE POWER PAID FOR BY THE DEMOCRS CASTIONA . COMMITTEE , DEMOCRM IS ORG NOT AUTORIZED BY ANY CANDIDATE OR CANDIDATES ONNITEE"
2020,a49c0a98d99dbb81e367865c0fc342fd1395908b1ab177cc8f9f12c2e7efe37f,https://www.snap.com/political-ads/asset/3f75dc4129e97c48bde71cc4a37dbf11d0d1e55ae5411fb3a973eba316079830?mediaType=png,USD,31,8422,2020/09/14 18:17:17Z,2020/11/02 19:11:47Z,JAB Media,US,Shawn Hingson For Suwannee County Sheriff,Shawn Hingson For Sheriff,,,,,,18+,united states,,,,,latitude 30.2949;longitude -82.984;radius 10.0,,,,,,,,,,Provided by Advertiser,,,,,,2363,BACK . THE BLUE ELECT SHAWN SUWANNEE COUNTY HINGSON FOR SHERIFF GEOFILTER PAID FOR SHAWN HINGSON FOR SUWANNEE COUNTY SHERIFF NPA
2025,0dabb6f82da3624c301163bb6c8e53cccadf6bf126a5e68e8146f97822c5d13c,https://www.snap.com/political-ads/asset/464644ba9777bc2d58a60bc5c06e0a8f84f53b5f14a3b60f23e1b600827c91eb?mediaType=png,USD,6,598,2025/03/13 11:09:02Z,,Human Concern US,US,,Human Concern US Self Service,,,,,,18+,united states,,,,,,,,,,,,,,,Provided by Advertiser,,,,,web_view_url:https://humanconcernusa.org/pre-ramadan-general/,9151,A Month of Humanity * HUMAN CONCERN USA Blessings Worldwide Millions Are in Need Of Clean Water this Ramadan's Will You Send Relief ? Donate Now
2024,eb39ccdb5058f4ff02313247d1ff38803e4ea87d98bbe3dd337ea23e199ac4dc,https://www.snap.com/political-ads/asset/dea87b4f5e2a19dcc9d764e4ab3aa417001d6f19431e3749c80aec6207f2afdf?mediaType=png,USD,397,46951,2024/10/01 23:16:04Z,2024/11/05 22:00:00Z,Direct Persuasion Group,US,,Send the Vote,,,,,,18+,united states,,,,,,,,,,,,,,,,en,,,,web_view_url:https://sendthevote.com?utm_medium=ad&utm_source=dp_snap&utm_campaign=gotvcomnc_WqLrou7u,7611,America if you don't vote . America if you do vote . PAID FOR BY SEND THE VOTE
2024,11811f711804c599d3d95de13726692c60f1bef1933b7337faf5dab2667abf25,https://www.snap.com/political-ads/asset/f4295beee9c7f1ad310e8da2f83400f00cdd4e4cf2f230e446e59b85dbba7927?mediaType=png,USD,184,11020,2024/08/21 06:11:25Z,,NGO,"17300 w 10 mile rd,southfield,48075,US",,Life for Relief and Development,,,,,,22+,united states,,,,,,,,,,,,,,,Provided by Advertiser,,,,,web_view_url:https://life.givecloud.co/product/BTSC1/back-to-school-campaign?utm_source=snapchat&adid={{ad.id}},7740,00000000 Life WHERE THERE IS LIFE ... THERE IS HOPE We're Building a Brighter Future with Education GISECURITY Life Donate Now † O x JO f لايف للإغاثة والتنمية 00000000 BACK
2022,57f3094ba183669f9eceb7ade7b137c7ecc45a30ec16097edf88761ca548681d,https://www.snap.com/political-ads/asset/a2e0be696c09f403f44d0a0e2adc42646cd39213d53499db90fac123cebbb9b7?mediaType=png,USD,147,12877,2022/10/25 13:59:42Z,2022/11/08 04:59:00Z,Resistbot Action Fund,US,,Resistbot Action Fund,,,,,,18+,united states,Florida,,,,,,,,,,,,Political News Watchers,ANDROID,Provided by Advertiser,"en,es",,,,,6004,"Pledge to vote for Vel Demings for U.S. Senate Swipe up & tap send to text Resistbot your pledge your vote ! Resistbot will also check your registration , and help you turn out more votes on Election Day ! PAID FOR BY RESISTBOT ACTION FUND NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE 727.900.5901"
2020,ebc59604f759077c8da337c315f25e3bd44c8ef23646115f01e52f7ce98962fa,https://www.snap.com/political-ads/asset/158619329dca4a553bc77d44bd5b5589173f077528fcb6bd80effa6626317a06?mediaType=png,USD,421,176008,2020/07/17 22:42:46Z,2020/07/20 06:59:59Z,Trilogy Interactive,"2054 University Ave STE 600,Berkeley,94704,US",,Detroit Action,,,,,,18-35,united states,,,,,,,,,"48277,48278,48101,48111,48112,48120,48122,48124,48126,48125,48128,48127,48134,48135,48138,48141,48150,48146,48152,48154,48164,48167,48168,48173,48170,48174,48180,48184,48183,48186,48185,48188,48187,48192,48195,48193,48202,48201,48204,48203,48206,48205,48208,48207,48210,48209,48212,48211,48214,48213,48216,48215,48218,48217,48219,48222,48221,48224,48223,48226,48225,48228,48227,48230,48229,48234,48236,48235,48238,48240,48239,48242,48264,48266,48265",,,,,,Provided by Advertiser,,,,,web_view_url:https://actionnetwork.org/petitions/take-the-investdivest-pledge?source=ad_sn_lba_wc_i2_20200717,941,WO DIVEST FROM POLICE INVEST IN YOUTH SIGN ON BLM DEFUND THE POLICE BLACK LIVES MATTER
2020,07fb8a1880fddbadb3fc5837f036882a0e17f9d5be361b0b63f7def488af1a03,https://www.snap.com/political-ads/asset/c67f6592b8c3da0d39d1420f7f84cd71c45c2e09e7857a68f31a0cb1441a84bf?mediaType=png,USD,2,750,2020/02/23 21:48:50Z,2020/03/04 00:30:00Z,ACRONYM,US,,ACRONYM,,,,,,18+,united states,North Carolina,,,,,,,,,,,,,,,,,,,web_view_url:https://peoplespowergrab.civicengine.com/plan?utm_source=snap&utm_medium=paid-awr&utm_campaign=ppg&utm_term=nc-map-v&utm_content=7A305C47,2639,"MAY 20TH 1775 N⭑C APRIL 12 , 1776 MAKE A PLAN TO VOTE EARLY FROM FEB 13-29 SWIPE UP"
2020,858fbe32173160814be038df4005bbd2b7649af10dceeb14b361ce172ff47008,https://www.snap.com/political-ads/asset/f1a96e5c466911dd18eaf4c1428322357a4073aedcb790bb31dd9ea5438e587d?mediaType=png,USD,466,81961,2020/11/19 15:26:25Z,2020/12/08 04:59:59Z,Hawkfish LLC,"909 Third Avenue,New York,10022,US",Collective PAC,The Collective PAC,,,,,,18-30,united states,Georgia,,,,,,,,,,,,,,,,,,,web_view_url:https://registertovote.sos.ga.gov/GAOLVR/welcome.do?utm_source=&utm_medium=&utm_campaign=&utm_content=&hft_id=~00_~01snap_~02_~03cpm_~04rs_~05pn_~06fc1_~07garuzip_~08lta_~09VoterReg_~10_~11CountdownClockSOS_~12na_~130_~14en_#no-back-button,1966,00:45 URGENT : The Georgia Runoff is coming up Register to Vote in Seconds PAID FOR BY THE COLLECTIVE EDUCATION FUND
2020,0ee46e4933288f48f4e25ac5a318029a695c1fbb2308f793ee82e0cf97ca3530,https://www.snap.com/political-ads/asset/a044bdaee693c1d407c4ca83ed9c847d8fe4cc562b85a94dd04eebbe304f674e?mediaType=png,USD,21,1993,2020/11/27 17:44:56Z,2021/02/01 07:59:59Z,"Search for Businesses, LLC",US,,The Outrage,,,,,FEMALE,25+,united states,,,,,,,,,,,,,,,,en,,,,web_view_url:https://www.the-outrage.com/collections/last-call?utm_source=snapchat&utm_campaign={{adSet.name}}&utm_content={{creative.headline}},2593,THE OUTRAGE LAST CALL 50 % OFF Swipe up to shop ! Donating with EVERY . SINGLE . PURCHASE . Soif PRIDE WAS A RIOT
2021,64884059446d068e6e36c7086ea0fce1995fcaf193755f5f5ef9b6290c8686e9,https://www.snap.com/political-ads/asset/949653752f8dcb6da4a3f953c4cdbf5921b5f9c4a08bfb94eb4e32d181b3909b?mediaType=png,USD,602,143263,2021/05/25 19:33:37Z,2021/07/01 03:59:59Z,Bully Pulpit Interactive,"1445 New York Ave NW,Washington,20005,US",,American Civil Liberties Union,,,,,,18+,united states,,,,,,,,,,,,,Political News Watchers,,,en,,,,web_view_url:https://action.aclu.org/signup/pm-alternatives-to-policing-now?&utm_medium=pm&utm_source=snap&utm_campaign=nat-dig-pm-lb-bpi&utm_content=snap-social-criminallaw-mhealth_advocacy_05072021&utm_term=&initms_aff=nat&initms_chan=pm&initms=nat-dig-pm-lb-bpi-snap-social-criminallaw-mhealth_advocacy_05072021&ms_aff=nat&ms_chan=pm&ms=nat-dig-pm-lb-bpi-snap-social-criminallaw-mhealth_advocacy_05072021=,4197,ACLU MENTAL HEALTH CARE NOT COPS ! I AGREE Γ
